priority,url,why_inspect,our_final_status,our_redirects_to,our_declared_canonical,our_meta_robots,our_internal_inbound_links,our_in_sitemap,recommended_action,GSC_verdict,GSC_google_selected_canonical,GSC_user_declared_canonical,GSC_coverage_state,GSC_last_crawl,GSC_crawled_as,GSC_indexing_allowed,GSC_referring_page,GSC_matches_our_expectation_YN
P0,https://shop.oligopolypeptides.com/,"Legacy host homepage, 2 impressions.",301 -> 200,https://www.oligopolypeptides.com/,,,,,Confirm one-hop 301 to www homepage.,,,,,,,,,
P0,https://shop.oligopolypeptides.com/products/selank-5mg-research-peptide/,Holds 22 of the property's 24 impressions and its only click. Confirm Google now selects the www URL as canonical.,301 -> 200,https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/,,,,,Confirm 301 is one hop to the live www page; keep it permanently.,,,,,,,,,
P0,https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/,"Redirect destination of the only page earning clicks. Was a 404 in the August audit, now 200.",200,,https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",14,True,Verify indexed and self-canonical; this must inherit the shop URL's equity.,,,,,,,,,
P1,https://www.oligopolypeptides.com/apply-individual-research-account/,Listed in the sitemap but 1-hop redirect to https://www.oligopolypeptides.com/my-account/.,200,https://www.oligopolypeptides.com/my-account/,,"noindex, follow",0,True,"Replace with the final destination in the sitemap, or drop it.",,,,,,,,,
P1,https://www.oligopolypeptides.com/apply-institutional-account/,Listed in the sitemap but 1-hop redirect to https://www.oligopolypeptides.com/my-account/.,200,https://www.oligopolypeptides.com/my-account/,,"noindex, follow",0,True,"Replace with the final destination in the sitemap, or drop it.",,,,,,,,,
P1,https://www.oligopolypeptides.com/bpc-157-kpv-recovery-immune-research/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/bpc-157-kpv-recovery-immune-research/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/category/cognitive-peptide-guides/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/category/cognitive-peptide-guides/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/category/documentation/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/category/documentation/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/category/laboratory-protocols/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/category/laboratory-protocols/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/category/longevity-research/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/category/longevity-research/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/category/metabolic-research/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/category/metabolic-research/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/category/quality-standards/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/category/quality-standards/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/category/research-blends/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/category/research-blends/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/category/research-comparisons/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/category/research-comparisons/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/category/research-guides/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/category/research-guides/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/cellular-research/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/cellular-research/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/cjc-1295-vs-tesamorelin/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/cjc-1295-vs-tesamorelin/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/compare-draft/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/compare-draft/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/email-confirmed/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/email-confirmed/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
P1,https://www.oligopolypeptides.com/houston-research-peptides/,"In sitemap, indexable, but ZERO internal links point to it (orphan).",200,,https://www.oligopolypeptides.com/houston-research-peptides/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",0,True,"Link it from a relevant hub/category page, then request indexing.",,,,,,,,,
