priority,area,url_or_scope,verified_state,gsc_bucket,action,effort
P0,Legacy host attribution,shop.oligopolypeptides.com/products/selank-5mg-research-peptide/,301 one hop to the live www page (200). Holds 22 of 24 impressions and the property's only click,Page with redirect,Nothing to fix - keep the redirect permanently. Inspect in GSC to confirm Google now selects the www URL as canonical,None
P0,Indexing decline,Whole property,"Not indexed 349 -> 1,006 since 2026-06-11 while indexed drifted 273 -> 285",(multiple),"Treat as the headline metric. Re-measure after the P1 rows land; if it keeps climbing, the cause is structural, not per-URL",High
P1,Broken internal links,"15 malformed '-Research Panel' URLs (literal space in href), 31 of them to /Research Panels/",Unreachable - a space in the path cannot resolve. Second occurrence of the same rename bug,(not surfaced by GSC - it cannot crawl them),Run fix-corrupted-links.sh (revised 2026-09-10). Then restrict the rename process to text nodes so there is no third wave,Medium
P1,Broken internal links,7 hub links to pages that were never created,"404. /senescence-telomere-signaling-blends/ (7 inbound), /endocrine-receptor-ligands-blends/ (5), /extracellular-matrix-signaling-blends/ (5), plus 4 more",Not found (404),"Either create the hub pages or repoint the links at the matching /product-category/ pages, which exist and return 200",Medium
P1,Orphaned pages,30 sitemap URLs with zero internal links,"Indexable and submitted, but reachable by no internal link at all",Discovered - currently not indexed (likely),Link each from a relevant hub or category. This is the most likely fix for the 56-URL bucket - crawl budget follows links,Medium
P1,Sitemap hygiene,"5 account pages (/sign-in/, /request-account/, /individual-research-account/, /apply-individual-research-account/, /apply-institutional-account/)","In sitemap, serve 'noindex, follow', and 301 to /my-account/ which robots.txt disallows",Excluded by 'noindex',Remove from the sitemap. The noindex itself is correct - never submit URLs that redirect into a Disallow path,Low
P1,Sitemap hygiene,"11 sitemap URLs that redirect, 2 of them through two hops",/peptide-finder/cellular-health/ -> /cellular-longevity-hub/ -> /senescence-biology-hub/; /research-panels/ -> /research-stacks/ -> /research-collections/,Page with redirect,List final destinations in the sitemap. Collapse the two-hop chains to one hop at the redirect rule,Low
P2,Template bug,/compare/${p.url} and /research-partner-program/context.item.anchor,404. An unevaluated JS template literal is being published into the HTML,Not found (404),Fix at the template. These are not content errors and cannot be fixed by editing pages,Low
P2,Redirect chains,"/products/epitalon, /products/ara-290, /products/igf-1-lr3, /products/melanotan-ii",301 to a '-research-peptide/' URL that does not exist -> 404,Not found (404),"Repoint each 301 at a live category per redirect-map.csv, or drop the rule and let it 404 honestly",Low
P2,Crawl budget,39 /compare/?compare_product=... and 8 /research-library/?record=N variants,"200, each correctly canonical to its parent",Alternate page with proper canonical tag,Behaving correctly - no canonical fix needed. Consider Disallow-ing the parameters so crawl budget goes to real pages instead,Low
P2,Unintended publication,/compare-draft/,"200, indexable, self-canonical, in the sitemap, zero internal links",Discovered - currently not indexed (likely),Looks like a draft that shipped. Noindex it or remove it from the sitemap unless it is deliberate,Low
OK,No action,Canonical tags sitewide,Zero competing self-canonical pages across 554 indexable URLs,"Duplicate, Google chose different canonical than user (6)","Nothing to fix on the site. The 6 conflicts are Google overriding on content similarity - identify them from the GSC export, they are invisible from the site side",None
OK,Already fixed,/research-products/,301 to /research-catalog/ as recommended in the August audit,Page with redirect,None. Confirmed applied,None
OK,Already fixed,/products/selank-5mg-research-peptide/ on www,200. Was a 404 during the August audit,(healthy),None. Confirmed applied,None
OK,No action,All 234 sitemap URLs,Every one resolves to HTTP 200,(healthy),None,None
